iter	RMSE
0	14.91407272
1	14.81482911
2	14.7111815
3	14.61338456
4	14.52649584
5	14.43904749
6	14.3579445
7	14.26021035
8	14.16588342
9	14.0736309
10	13.97540188
11	13.88008343
12	13.80650293
13	13.71588078
14	13.62977756
15	13.53953475
16	13.44923899
17	13.36512072
18	13.28319031
19	13.19743949
20	13.11331194
21	13.03254343
22	12.96982208
23	12.88554936
24	12.81407876
25	12.75360078
26	12.67616166
27	12.60077199
28	12.52779706
29	12.45566952
30	12.38496437
31	12.30790466
32	12.23365638
33	12.16814293
34	12.0946563
35	12.03396474
36	11.96277812
37	11.88994241
38	11.82116219
39	11.75902089
40	11.69727836
41	11.63814698
42	11.57096739
43	11.50454257
44	11.44663732
45	11.37691897
46	11.31022745
47	11.25595115
48	11.19314759
49	11.12986302
50	11.07427831
51	11.01977902
52	10.95992885
53	10.89611519
54	10.83660936
55	10.78226274
56	10.73022578
57	10.66975005
58	10.60790895
59	10.5510286
60	10.4917773
61	10.43689815
62	10.38530245
63	10.32819082
64	10.27413171
65	10.21790959
66	10.16945197
67	10.12024934
68	10.07909361
69	10.02639128
70	9.97439243
71	9.925604951
72	9.880107581
73	9.839499138
74	9.797735529
75	9.758298119
76	9.717276496
77	9.667541557
78	9.619223518
79	9.576987198
80	9.53017554
81	9.493629589
82	9.446703693
83	9.404390101
84	9.359029376
85	9.315821204
86	9.277229635
87	9.241993075
88	9.199791246
89	9.164434285
90	9.128034302
91	9.085937231
92	9.047570236
93	9.005695419
94	8.964779713
95	8.925355367
96	8.893537413
97	8.861469555
98	8.829179194
99	8.793602753
100	8.761501861
101	8.724592172
102	8.690336579
103	8.655281033
104	8.624055925
105	8.593206833
106	8.565127496
107	8.534247947
108	8.501184358
109	8.464269698
110	8.431931771
111	8.397122341
112	8.363270795
113	8.329646631
114	8.30211484
115	8.272620993
116	8.240704411
117	8.20724892
118	8.172960603
119	8.142319405
120	8.116903785
121	8.087661799
122	8.05670602
123	8.031697649
124	8.001593184
125	7.972100646
126	7.941835
127	7.916230829
128	7.889353555
129	7.866260296
130	7.837538278
131	7.811024364
132	7.784968172
133	7.758995636
134	7.734214103
135	7.707434005
136	7.681543251
137	7.65996047
138	7.639376006
139	7.614886176
140	7.589449514
141	7.569041569
142	7.548903531
143	7.525149075
144	7.505018669
145	7.479482156
146	7.45876223
147	7.43432525
148	7.409990054
149	7.386675426
150	7.366668623
151	7.350457138
152	7.332781313
153	7.312272863
154	7.294574026
155	7.271674047
156	7.252015997
157	7.235103798
158	7.216982621
159	7.200813399
160	7.184143533
161	7.166693389
162	7.14744912
163	7.128804393
164	7.111493516
165	7.092824285
166	7.077918689
167	7.063524933
168	7.046209617
169	7.028543646
170	7.013210819
171	6.99853306
172	6.98193014
173	6.965992214
174	6.951349118
175	6.936285771
176	6.91995494
177	6.904041747
178	6.891741696
179	6.876115913
180	6.861951786
181	6.848935111
182	6.833393458
183	6.815353753
184	6.800526949
185	6.787509292
186	6.774398238
187	6.758604807
188	6.746999862
189	6.732017769
190	6.719246729
191	6.705324811
192	6.688831428
193	6.673387391
194	6.660862689
195	6.64763645
196	6.6378226
197	6.624420289
198	6.610411416
199	6.59743903
200	6.584148826
201	6.570600107
202	6.556893935
203	6.544390866
204	6.531337748
205	6.520997833
206	6.510831022
207	6.50114983
208	6.489543085
209	6.476423885
210	6.466102696
211	6.454194114
212	6.442800525
213	6.430934313
214	6.420322152
215	6.411977301
216	6.400316111
217	6.392098146
218	6.381796709
219	6.371491186
220	6.360868576
221	6.352149856
222	6.342392912
223	6.334918791
224	6.32444734
225	6.314383627
226	6.307116145
227	6.295987419
228	6.28542432
229	6.276571397
230	6.266775299
231	6.257123401
232	6.247502592
233	6.237804727
234	6.229880433
235	6.219613033
236	6.211007658
237	6.203788977
238	6.193969653
239	6.183951705
240	6.176487492
241	6.169150335
242	6.160339987
243	6.152497238
244	6.142865951
245	6.133758456
246	6.125862852
247	6.120508621
248	6.113982398
249	6.106316902
250	6.099681474
251	6.092580749
252	6.083498352
253	6.074870896
254	6.065752224
255	6.057785637
256	6.050766186
257	6.043059951
258	6.036085043
259	6.029989028
260	6.022944385
261	6.015602553
262	6.009331136
263	6.001505614
264	5.995206901
265	5.988853006
266	5.98306047
267	5.975754954
268	5.967774864
269	5.961695798
270	5.955349478
271	5.949359239
272	5.943907588
273	5.937296036
274	5.933143902
275	5.926887228
276	5.919848284
277	5.915095759
278	5.909316273
279	5.903993772
280	5.896861566
281	5.891619363
282	5.886158369
283	5.880007872
284	5.874486217
285	5.870067805
286	5.863838814
287	5.858124394
288	5.85238572
289	5.847055642
290	5.842383609
291	5.838108453
292	5.833252013
293	5.829150423
294	5.823902578
295	5.819469421
296	5.813593104
297	5.808141181
298	5.80324711
299	5.797759723
300	5.793849382
301	5.78844913
302	5.781796569
303	5.777610234
304	5.773849382
305	5.770331882
306	5.766075167
307	5.76263363
308	5.758883129
309	5.755642473
310	5.7519228
311	5.74799816
312	5.744187317
313	5.73953587
314	5.735060776
315	5.731717248
316	5.728160449
317	5.725523491
318	5.720898665
319	5.71767877
320	5.713723309
321	5.71010275
322	5.706128175
323	5.7016439
324	5.699054286
325	5.6951917
326	5.690827645
327	5.687028966
328	5.682724096
329	5.679018388
330	5.674728994
331	5.670506618
332	5.666395735
333	5.662578272
334	5.659541111
335	5.656537196
336	5.653338329
337	5.649440024
338	5.646892761
339	5.643103746
340	5.639069546
341	5.636513855
342	5.633450898
343	5.630252233
344	5.627606567
345	5.623930025
346	5.621219106
347	5.617841256
348	5.61449817
349	5.611363908
350	5.607953817
351	5.605269901
352	5.603253054
353	5.60067473
354	5.59824016
355	5.595737557
356	5.593720609
357	5.591449779
358	5.588572466
359	5.585474947
360	5.582223666
361	5.57993377
362	5.576524881
363	5.572974654
364	5.570066589
365	5.566753704
366	5.563641022
367	5.560873314
368	5.558220962
369	5.555545583
370	5.552997623
371	5.550517286
372	5.547890821
373	5.54520869
374	5.543196188
375	5.540769683
376	5.537994212
377	5.535284091
378	5.53230361
379	5.530078958
380	5.528221965
381	5.525829966
382	5.524622939
383	5.52230581
384	5.519232491
385	5.517170977
386	5.514426333
387	5.511263398
388	5.508771848
389	5.506288792
390	5.503473951
391	5.501443198
392	5.499909107
393	5.496655431
394	5.493938336
395	5.492177171
396	5.490037432
397	5.488176241
398	5.486486622
399	5.48371477
400	5.482120895
401	5.480144399
402	5.477815429
403	5.475165672
404	5.473059204
405	5.471583247
406	5.469637045
407	5.467391754
408	5.465474688
409	5.463109783
410	5.459881906
411	5.457983867
412	5.455346565
413	5.453706656
414	5.452083142
415	5.449879054
416	5.448219499
417	5.445974279
418	5.444611368
419	5.442584777
420	5.439798966
421	5.438036833
422	5.436341238
423	5.434697331
424	5.432766332
425	5.431174428
426	5.428525832
427	5.426765946
428	5.424665048
429	5.423038323
430	5.421192663
431	5.419308458
432	5.417326889
433	5.416093175
434	5.414244226
435	5.412422019
436	5.411209735
437	5.409807001
438	5.408548684
439	5.406314227
440	5.404255292
441	5.40241261
442	5.401312045
443	5.399596315
444	5.398145835
445	5.39691725
446	5.395266417
447	5.39430454
448	5.393072033
449	5.391715245
450	5.390431671
451	5.388767316
452	5.387350715
453	5.386241766
454	5.383675674
455	5.38236899
456	5.380577374
457	5.378837015
458	5.377338507
459	5.37530645
460	5.374176417
461	5.372752014
462	5.370545755
463	5.368713185
464	5.367104886
465	5.365677021
466	5.364405416
467	5.362354012
468	5.360133108
469	5.358699898
